com_name,exp_req,jd,job_title,keyskills,link,loc,salary
Next Step Services Private Limited,3-5 yrs,"Hands-on experience in model building - logistic, liner regression, time series & behavior ...",Data Analytics/data Miner US Healthcare Domain/ UK Shift,"Advanced Excel, Data Analysis, Time Series, Data Mining, SAS...","https://www.naukri.com/recruiters/profile/meghanagari-261117?xz=0_0_7,https://www.naukri.com/recruiters/profile/meghanagari-261117?xz=0_0_7",Gurgaon,  Not disclosed 
HuQuo Consulting Pvt. Ltd.,2-5 yrs,- 2-5 years of total experience of Data Analytics / Data Insights Generation;- Experience in credit card ...,Business Analyst/senior Business Analyst - Data Analytics - BFSI,"Business Analyst, Data Analytics, Analytics, Data Insights Generation, SAS,...","https://www.naukri.com/recruiters/profile/manoj-2685128?xz=0_0_7,https://www.naukri.com/recruiters/profile/manoj-2685128?xz=0_0_7",Delhi NCR,  Not disclosed 
Indian Institute of Technology Delhi,10-15 yrs,,Professor - Data Analytics and Data Sciences,,,Delhi,    Pay Scale: Pay Band : Rs.37400-67000(minimum pay of Rs....  
Indian Institute of Technology Delhi,3-5 yrs,,Assistant Professor (Grade I) - Data Analytics And Data Sciences,,,Delhi,    Pay Level 12 (Rs.101500-167400) with minimum Pay of Rs....  
CLARITY CONSULTING,4-8 yrs,"Must Have experience : SAS,SSIS,VBA TOOLS,Tableau,R,Python, ...",Senior Data Analytics,"Tableau, R, Data Analytics, SAS, VBA","https://www.naukri.com/recruiters/profile/gargiverma-3681134?xz=0_0_7,https://www.naukri.com/recruiters/profile/gargiverma-3681134?xz=0_0_7",Gurgaon(Sector-24 Gurgaon),"    7,00,000 - 13,00,000 P.A.  "
Naukri Premium - Employer Services,13-23 yrs,Bachelors degree with at least 10 years of experience in IT Auditing and 5+ years of experience in Data ...,Sr. Director - IT Audit and Data Analytics,"Cisa, Auditing, Information Security, IT Audit, Internal Audit...",,Delhi NCR,  Not disclosed 
Great Learning-Startup,1-3 yrs,1+ years of hands-on experience in the below functional skills: ...,Data Science Analyst,"data science, data analytics, statistical analysis, tableau, data modeling,...",,Gurgaon,  Not disclosed 
Destination HR,10-20 yrs,,Vice President (V) - Data Analytics,"data analytics, data modeling, data mining, data extraction, senior analyst...","https://www.naukri.com/recruiters/profile/veerraghuwanshi-3690166?xz=0_0_7,https://www.naukri.com/recruiters/profile/veerraghuwanshi-3690166?xz=0_0_7","Mumbai, Delhi NCR, Bengaluru",  Not disclosed 
,,,,,,,
,,,,,,,
CLARITY CONSULTING,4-8 yrs,Primary Responsibilities:  Analyze large volume of data and define clear strategy in analytical work ...,Senior Data Analytics,"data analytics, SAS, SSIS","https://www.naukri.com/recruiters/profile/sapnachaturvedi-3433588?xz=0_0_7,https://www.naukri.com/recruiters/profile/sapnachaturvedi-3433588?xz=0_0_7",Gurgaon,  Not disclosed 
Next Step Services Private Limited,9-13 yrs,Candidates should have Banking and Insurance ...,Data Analytics - Gurgaon,"Predictive Modeling, statistical modeling, Machine Learning, Analytics","https://www.naukri.com/recruiters/profile/meghanagari-261117?xz=0_0_7,https://www.naukri.com/recruiters/profile/meghanagari-261117?xz=0_0_7",Gurgaon,  Not disclosed 
R Systems International Ltd.,13-18 yrs,Experience of handling high frequency streaming data for real time analysis and reporting;Experience ...,Lead Data Scientist,"data analytics, predictive modeling, python, r programming...","https://www.naukri.com/recruiters/profile/pawanmehta-163669?xz=0_0_7,https://www.naukri.com/recruiters/profile/pawanmehta-163669?xz=0_0_7",Noida,  Not disclosed 
Bean HR Consulting,5-10 yrs,Good planning and organizational skills;Should have good presentation/ display skills;Good communication ...,Manager CRM || Gurgaon,"business intelligence, data analytics, CRM, Planning",,Delhi NCR,  Not disclosed 
Live connections,2-6 yrs,,Immediate Job Opening for Data Analytics @ MNC,"data analytics, sql, R, PYTHON, Machine Learning",,"Bengaluru, Hyderabad, Mumbai, Delhi NCR","    1,25,000 - 6,25,000 P.A.  "
NIKOS CONSULTING PRIVATE LIMITED,8-11 yrs,"- 8-11 years in quantitative analysis experience, including building AI/ML models;- Front end client ...",Manager - Human Capital Analytics/ Talent Analytics - Consulting Firm,"NLP, Neural Networks, Machine Learning, Data Mining...","https://www.naukri.com/recruiters/profile/roopshreepandey-1110587?xz=0_0_7,https://www.naukri.com/recruiters/profile/roopshreepandey-1110587?xz=0_0_7","Bengaluru, Gurgaon, Gurugram",  Not disclosed 
Nacre Outsourcing,5-10 yrs,- Proven working experience as a data analyst or business data analyst;- Knowledge of statistics and ...,SAS Model Developer - Analytics Consulting Firm,"Excel, SQL, Data Analysis, Segmentation, SAS, Data Mining, SPSS...",,"Gurgaon, Noida",  Not disclosed 
SLA Consultants India,0-5 yrs,,"Data Analyst / Data Science - Excel,sql,sas,python, R - Analytics Team","data analyst, reporting analyst, sas, statistics, sas programmer...","https://www.naukri.com/recruiters/profile/bhanu-1128669?xz=0_0_7,https://www.naukri.com/recruiters/profile/bhanu-1128669?xz=0_0_7","Delhi NCR, Gurgaon, Noida","    2,00,000 - 4,25,000 P.A.  "
Premium,8-10 yrs,- You should be able to build a custom Function Module with medium complexity program logic;- As a ...,Hadoop/big Data Consultant - Splunk,"Data Analytics, Big Data, Analytics, Analytics Big Data",,"Delhi NCR, Noida",  Not disclosed 
RailYatri-Startup,3-6 yrs,"Must Have Tools : R, MySQL, ExcelGood to Have Tools : Python, MongoDB, Apache SparkWork Experience : 3-6 ...",Senior Data Scientist - Iit/nit/iim/isb,"R, Python, Data Science, MySQL, MongoDB, SQL, Apache, Data Analytics...",,Noida,  Not disclosed 
"OYO Rooms, Oravel Stays Private Limited",1-6 yrs,  Data collection mechanisms and hygiene  Creating and maintaining dashboards for ...,Analyst,"Data Collection, Process Implementation, Business Generation...","https://www.naukri.com/recruiters/profile/pratibhajangir-3834852?xz=0_0_7,https://www.naukri.com/recruiters/profile/pratibhajangir-3834852?xz=0_0_7",Gurgaon,  Not disclosed 
AIRSEVA INDIA PVT LTD,5-8 yrs, 8 + years top tier analyst or consulting experience in business intelligence or analytics ...,Business Analyst (contractual Role),"Big Data Analytics, Data Science, Macros, VBA, Data Quality, Charts...","https://www.naukri.com/recruiters/profile/uttirnagogia-3793366?xz=0_0_7,https://www.naukri.com/recruiters/profile/uttirnagogia-3793366?xz=0_0_7",Gurgaon,  Not disclosed 
Adaan Digital Solutions Pvt. Ltd.,0-3 yrs,"All the customer e-mails, calls and complaints must be addressed in a timely and effective manner;The ...",Post Sales/ Customer Success Executive,"Outbound, Inbound, Marketing, Advertising, Post Sales, Communication Skills...","https://www.naukri.com/recruiters/profile/SumitaArora-COO?xz=0_0_7,https://www.naukri.com/recruiters/profile/SumitaArora-COO?xz=0_0_7",Delhi NCR,"    1,00,000 - 3,50,000 P.A.  "
Kronos Solutions India Pvt. Ltd.,8-12 yrs,"You should have prior experience recruiting across levels within a multidisciplinary environment;Ideally, ...",Senior Recruiter,"Recruitment, Talent acquisition, Healthcare, Human capital management...",,Noida,  Not disclosed 
,,,,,,,
Cargill Business Services India Private Limited,4-6 yrs,"4+ years practical experience with SAS, ETL, data processing and data analytics;2- 4 Years of experience ...",Data Analytics Manager,"Data Analysis, Predictive Modeling, Data Mining, SAS, Data Analytics...",,Gurgaon,  Not disclosed 
WSNE Consulting Pvt Ltd,3-8 yrs,"Experience -3 to 8 years of post-qualification experience including data analytics, data mining, dash ...",Urgent Hiring - Data Analytics in BIG 4 MNC at Gurgaon (delhi).,"Data Analytics, Data Mining, Tableau, Power Bi, Reporting, Finance, Risk...","https://www.naukri.com/recruiters/profile/ashishkumar-3049728?xz=0_0_7,https://www.naukri.com/recruiters/profile/ashishkumar-3049728?xz=0_0_7","Delhi NCR, Gurgaon",  Not disclosed 
Nupeak IT Solutions,6-10 yrs,"Typically requires a minimum of 5-7 years experience analyzing data and/or teaching, including at least ...",Sr. SAS Data Analytics Consultant,"sas stat, text mining, base sas, data analysis, statistics, analytics...","https://www.naukri.com/recruiters/profile/hr-2441652?xz=0_0_7,https://www.naukri.com/recruiters/profile/hr-2441652?xz=0_0_7","Mumbai, Delhi, Jaipur",  Not disclosed 
WSNE Consulting Pvt Ltd,5-10 yrs,,Hiring for Big 4 for IA Data Analytics Profile,"Data Analytics, Internal Audit, auditing, Reporting, DA","https://www.naukri.com/recruiters/profile/sheenusharma-3758832?xz=0_0_7,https://www.naukri.com/recruiters/profile/sheenusharma-3758832?xz=0_0_7","Delhi NCR, Gurgaon","    5,00,000 - 13,00,000 P.A.  "
Experteye Consulting,5-9 yrs,,Lead Data Analytics ( Female ) - GGN ( Afternoon Shift with CAB ),"Logistic Regression, Linear Regression, SAS, Factor Analysis...","https://www.naukri.com/recruiters/profile/sunilkumarsingh?xz=0_0_7,https://www.naukri.com/recruiters/profile/sunilkumarsingh?xz=0_0_7",Delhi NCR,"    8,50,000 - 15,00,000 P.A.  "
Not Mentioned,0-3 yrs,Candidates may have the opportunity to work out of their home so this job may be ideal for someone who ...,Data Analytics Consultant: Virtual,"Logistic Regression, Statistical Modeling, SAS SQL, Time Series, Excel...",,"Delhi NCR, Jaipur, Jodhpur","    1,50,000 - 3,50,000 P.A. Salary commensurate with exper...  "
Protiviti,3-4 yrs,"- Working jointly with our solution architects and business consultants, the Senior Consultant will be ...",Consultant - Data Analytics - Machine Learning,"SQL, Business Intelligence, Data Analytics, R, Data Warehousing...",,"Bengaluru, Delhi NCR",  Not disclosed 
Nacre Outsourcing,6-10 yrs,- Should be able to understand business needs and apply analytical concepts to generate actionable ...,Big Data Analytics Role - Insurance Domain - BFS,"Hadoop, Hive, Hdfs, Impala, Mapreduce, Spark, Big Data Analytics, R...",,Gurgaon,  Not disclosed 
Protiviti,3-4 yrs,"- Working jointly with our solution architects and business consultants, the Senior Consultant will be ...",Consultant - Data Analytics - Machine Learning,"SQL, Business Intelligence, R, Business Development, Data Analytics...","https://www.naukri.com/recruiters/profile/praneshsinha-1942258?xz=0_0_7,https://www.naukri.com/recruiters/profile/praneshsinha-1942258?xz=0_0_7","Bengaluru, Delhi NCR",  Not disclosed 
Ameriprise,7-8 yrs,&bull; Experience of minimum 3 years in SAS is mandate;&bull; Experience of minimum 3 years in ...,Leader - Data Analytics,"Leader - Data Analytics, Analyst",,Gurgaon,  Not disclosed 
HuQuo,3-8 yrs,"- Strong SAS at least 3 years of experience in SAS, VBA, and SQL (Mandatory);- Should have analytical ...",Senior Business Analyst - SAS Data - Analytics Firm,"sql, business analysis, data analytics, data mining, sas, vba, regression...","https://www.naukri.com/recruiters/profile/arpanam-2685194?xz=0_0_7,https://www.naukri.com/recruiters/profile/arpanam-2685194?xz=0_0_7","Delhi NCR, Gurgaon",  Not disclosed 
Huquo Consulting Pvt. Ltd,5-10 yrs,- Extensive experience using Big Data technologies (4-12 years) to analyze and solve business problems ...,Manager/senior Manager - Big Data Analytics - Banking Domain,"sql, hive, spark, big data analytics, tableau, data analysis...","https://www.naukri.com/recruiters/profile/rukhsarjawed-3809784?xz=0_0_7,https://www.naukri.com/recruiters/profile/rukhsarjawed-3809784?xz=0_0_7",Gurgaon,  Not disclosed 
Cargill Business Services India Private Limited,5-10 yrs,"5+ years practical experience with SAS, ETL, data processing and data analytics;5- 10 Years of ...",Manager - Data & Analytics,"data analytics, data analysis, training needs, business generation, sas...",,Gurgaon,  Not disclosed 
Nacre Outsourcing,6-10 yrs,- Should be able to understand business needs and apply analytical concepts to generate actionable ...,Big Data Analytics Role - Insurance Domain - BFS,"Hadoop, Hive, Hdfs, Impala, Mapreduce, Spark, Big Data Analytics, R...",,Gurgaon,  Not disclosed 
G-Cube Webwide Software Pvt. Ltd.,8-12 yrs,,Product Specialist,"R, Data Analytics, Machine Learning, Distribution System...","https://www.naukri.com/recruiters/profile/priyankalata-1321976?xz=0_0_7,https://www.naukri.com/recruiters/profile/priyankalata-1321976?xz=0_0_7",Noida,"    15,00,000 - 18,00,000 P.A.  "
EYGBS (INDIA) LLP,6-9 yrs,Experience in managing multiple concurrent initiatives from multiple regions or clients;Self-driven and ...,Assurance Data Analytics - Senior,"Data Analytics, Process Improvement, business analytics, Excel, SPSS, SAS",,Gurgaon,  Not disclosed 
SS Supply Chain Solutions Pvt Ltd,3-7 yrs,"- Should have sound knowledge and experience in Time series, Linear Regression, Splines, Decision trees, ...",Data Scientist - Analytics,"C++, Python, Java, Algorithms, Neural Networks, Machine Learning, SCALA...","https://www.naukri.com/recruiters/profile/ruchidikshit-3528864?xz=0_0_7,https://www.naukri.com/recruiters/profile/ruchidikshit-3528864?xz=0_0_7","Gurgaon, Pune",  Not disclosed 
Taazaa Inc.,3-5 yrs,"Manage end to end analytics projects including business requirement analysis, define scope, solution ...","Python Developer-big Data Analytics, Taazaa Inc., Sector 63, Noida","Python Developer, Big Data, Analytics, Hadoop, SQL, Excel, R, JSON, SPSS...",,"Delhi, Noida",  Not disclosed 
Yoda Learning Solutions,3-7 yrs,Should be capable to deliver training modules to both L1 & L2 type of audiences. ;Should have a good ...,Data Analytics Trainer for Corporate Training Institute,"Alteryx, Corporate Training, Data Analytics, Business Intelligence...","https://www.naukri.com/recruiters/profile/rishabhbhandari-3807894?xz=0_0_7,https://www.naukri.com/recruiters/profile/rishabhbhandari-3807894?xz=0_0_7",Delhi NCR,"    6,00,000 - 10,00,000 P.A.  "
NEC Technologies India Pvt Ltd,3-5 yrs,- Should have extensive advanced knowledge of MS Power Point/ Excels;Job Experience: 3 to 4 years ...,Data Analyst - Managed Services,"data quality, ms office powerpoint, data analytics, data collection...",,Noida,  Not disclosed 
ANRI SOLUTIONS HR SERVICES PVT LTD,1-6 yrs,"Demonstrable previous experience (project, studies or certifications) in one or more following areas: ...",Data Analytics - R/ R-studio/ Python Programmer for Noida,"Data Analytics, R, Statistical Modelling, Predictive modelling, Python...",,Noida,  Not disclosed 
Talentex Services Pvt Ltd.,7-12 yrs,"The person should be able to liaise with clients, manage elaborate dialogues with them and be able to ...",Manager / Sr. Manager / AVP - Big Data Analytics,"Big Data Analytics, Big Data, Big Data Engineer, Big Data Consultant...","https://www.naukri.com/recruiters/profile/deeptikhetarpal-3176?xz=0_0_7,https://www.naukri.com/recruiters/profile/deeptikhetarpal-3176?xz=0_0_7",Gurgaon,"    15,00,000 - 30,00,000 P.A.  "
HR SYNERGY,8-11 yrs,- Flexible to work in different time zones and travel as required;- Proficient in using statistical ...,Assistant Manager - Data Analytics - Big4,"SQL, Excel, Javascript, XML, SAS, SPSS, Data Analytics, People Skills...",,"Gurgaon, Kerala",  Not disclosed 
HuQuo,2-5 yrs,- 2-5 years of total experience of Data Analytics / Data Insights Generation;- Experience in credit card ...,Business Analyst/senior Business Analyst - Data Analytics- BFSI Domain,"Business Analysis, Excel, Data Analytics, SAS, VBA, Problem Solving...","https://www.naukri.com/recruiters/profile/arpanam-2685194?xz=0_0_7,https://www.naukri.com/recruiters/profile/arpanam-2685194?xz=0_0_7","Delhi NCR, Bengaluru, Gurgaon",  Not disclosed 
HR SYNERGY,5-10 yrs,Experience in managing multiple concurrent initiatives from multiple regions or clients;Self-driven and ...,Senior Associate Data Analytics - Big4,"auditing, data analytics, process improvement, Analytics, SQL, SSIS, SSRS...",,"Gurgaon, Trivandrum",  Not disclosed 
Vikalp India Pvt. Ltd.,0-2 yrs,3.Drafting and sending e-mails to the clients as per their needs and requirement;Now youre ready to use ...,Client Service Executive,"sales, client servicing, client relationship, lead generation executive...",,Delhi NCR,"    1,50,000 - 4,00,000 P.A.  "
Contactx Resource Management,5-10 yrs,"Experience in any web-framework, micro services, REST APIs, highly scalable databases;Hands on ...",Senior Software Engineer,"c, c++, software engineering, python, product design, programming...",,Delhi,  Not disclosed 
Pinnacle Solutions,6-11 yrs,- Strong team handling skills - experience in handling a large multi-tiered team;- Detail orientation ...,Head - B2B Sales - Sme/msme - NBFC,"b2b sales, team management, team handling, performance management...","https://www.naukri.com/recruiters/profile/pinnaclesolutions-1255108?xz=0_0_7,https://www.naukri.com/recruiters/profile/pinnaclesolutions-1255108?xz=0_0_7","Gurgaon, Mumbai",  Not disclosed 
Next Step Services Private Limited,3-5 yrs,"Hands-on experience in model building - logistic, liner regression, time series & behavior ...",Data Analytics/data Miner US Healthcare Domain/ UK Shift,"Advanced Excel, Data Analysis, Time Series, Data Mining, SAS...","https://www.naukri.com/recruiters/profile/meghanagari-261117?xz=0_0_7,https://www.naukri.com/recruiters/profile/meghanagari-261117?xz=0_0_7",Gurgaon,  Not disclosed 
HuQuo Consulting Pvt. Ltd.,2-5 yrs,- 2-5 years of total experience of Data Analytics / Data Insights Generation;- Experience in credit card ...,Business Analyst/senior Business Analyst - Data Analytics - BFSI,"Business Analyst, Data Analytics, Analytics, Data Insights Generation, SAS,...","https://www.naukri.com/recruiters/profile/manoj-2685128?xz=0_0_7,https://www.naukri.com/recruiters/profile/manoj-2685128?xz=0_0_7",Delhi NCR,  Not disclosed 
Indian Institute of Technology Delhi,10-15 yrs,,Professor - Data Analytics and Data Sciences,,,Delhi,    Pay Scale: Pay Band : Rs.37400-67000(minimum pay of Rs....  
Indian Institute of Technology Delhi,3-5 yrs,,Assistant Professor (Grade I) - Data Analytics And Data Sciences,,,Delhi,    Pay Level 12 (Rs.101500-167400) with minimum Pay of Rs....  
CLARITY CONSULTING,4-8 yrs,"Must Have experience : SAS,SSIS,VBA TOOLS,Tableau,R,Python, ...",Senior Data Analytics,"Tableau, R, Data Analytics, SAS, VBA","https://www.naukri.com/recruiters/profile/gargiverma-3681134?xz=0_0_7,https://www.naukri.com/recruiters/profile/gargiverma-3681134?xz=0_0_7",Gurgaon(Sector-24 Gurgaon),"    7,00,000 - 13,00,000 P.A.  "
Naukri Premium - Employer Services,13-23 yrs,Bachelors degree with at least 10 years of experience in IT Auditing and 5+ years of experience in Data ...,Sr. Director - IT Audit and Data Analytics,"Cisa, Auditing, Information Security, IT Audit, Internal Audit...",,Delhi NCR,  Not disclosed 
Great Learning-Startup,1-3 yrs,1+ years of hands-on experience in the below functional skills: ...,Data Science Analyst,"data science, data analytics, statistical analysis, tableau, data modeling,...",,Gurgaon,  Not disclosed 
Destination HR,10-20 yrs,,Vice President (V) - Data Analytics,"data analytics, data modeling, data mining, data extraction, senior analyst...","https://www.naukri.com/recruiters/profile/veerraghuwanshi-3690166?xz=0_0_7,https://www.naukri.com/recruiters/profile/veerraghuwanshi-3690166?xz=0_0_7","Mumbai, Delhi NCR, Bengaluru",  Not disclosed 
,,,,,,,
,,,,,,,
CLARITY CONSULTING,4-8 yrs,Primary Responsibilities:  Analyze large volume of data and define clear strategy in analytical work ...,Senior Data Analytics,"data analytics, SAS, SSIS","https://www.naukri.com/recruiters/profile/sapnachaturvedi-3433588?xz=0_0_7,https://www.naukri.com/recruiters/profile/sapnachaturvedi-3433588?xz=0_0_7",Gurgaon,  Not disclosed 
Next Step Services Private Limited,9-13 yrs,Candidates should have Banking and Insurance ...,Data Analytics - Gurgaon,"Predictive Modeling, statistical modeling, Machine Learning, Analytics","https://www.naukri.com/recruiters/profile/meghanagari-261117?xz=0_0_7,https://www.naukri.com/recruiters/profile/meghanagari-261117?xz=0_0_7",Gurgaon,  Not disclosed 
R Systems International Ltd.,13-18 yrs,Experience of handling high frequency streaming data for real time analysis and reporting;Experience ...,Lead Data Scientist,"data analytics, predictive modeling, python, r programming...","https://www.naukri.com/recruiters/profile/pawanmehta-163669?xz=0_0_7,https://www.naukri.com/recruiters/profile/pawanmehta-163669?xz=0_0_7",Noida,  Not disclosed 
Bean HR Consulting,5-10 yrs,Good planning and organizational skills;Should have good presentation/ display skills;Good communication ...,Manager CRM || Gurgaon,"business intelligence, data analytics, CRM, Planning",,Delhi NCR,  Not disclosed 
Live connections,2-6 yrs,,Immediate Job Opening for Data Analytics @ MNC,"data analytics, sql, R, PYTHON, Machine Learning",,"Bengaluru, Hyderabad, Mumbai, Delhi NCR","    1,25,000 - 6,25,000 P.A.  "
NIKOS CONSULTING PRIVATE LIMITED,8-11 yrs,"- 8-11 years in quantitative analysis experience, including building AI/ML models;- Front end client ...",Manager - Human Capital Analytics/ Talent Analytics - Consulting Firm,"NLP, Neural Networks, Machine Learning, Data Mining...","https://www.naukri.com/recruiters/profile/roopshreepandey-1110587?xz=0_0_7,https://www.naukri.com/recruiters/profile/roopshreepandey-1110587?xz=0_0_7","Bengaluru, Gurgaon, Gurugram",  Not disclosed 
Nacre Outsourcing,5-10 yrs,- Proven working experience as a data analyst or business data analyst;- Knowledge of statistics and ...,SAS Model Developer - Analytics Consulting Firm,"Excel, SQL, Data Analysis, Segmentation, SAS, Data Mining, SPSS...",,"Gurgaon, Noida",  Not disclosed 
SLA Consultants India,0-5 yrs,,"Data Analyst / Data Science - Excel,sql,sas,python, R - Analytics Team","data analyst, reporting analyst, sas, statistics, sas programmer...","https://www.naukri.com/recruiters/profile/bhanu-1128669?xz=0_0_7,https://www.naukri.com/recruiters/profile/bhanu-1128669?xz=0_0_7","Delhi NCR, Gurgaon, Noida","    2,00,000 - 4,25,000 P.A.  "
